Task name,Date,Tags,Status,Repo/PR,Notes
Renamed all v15/v16 namespaces. Prop for v15-a1,"May 24, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/693,"Minor patch requires state breaking, so bumped all versions, PRs, and ICtest references"
[v15] Cleanup & improvements,"May 23, 2023",Juno,In progress,https://github.com/CosmosContracts/juno/pull/692,
Daniel (fortytwo project) call,"May 23, 2023",Meeting,Done,,
Rhino Stake Call (CosmosCache),"May 23, 2023",Meeting,Done,,
Add param change to our legacy Token-Factory fork,"May 23, 2023","Juno, TokenFactory",Done,https://github.com/CosmosContracts/token-factory/pull/15,
[v14.2] Upgrade Handler + TF Param changes,"May 23, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/691,
[v15] PFM e2e ictest,"May 22, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/689,
[v15] IBC-Hook e2e ictest,"May 22, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/690,
Call with Jake,"May 22, 2023",Meeting,Done,,
[v14] Version patch,"May 21, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/685,Will cordinate with Uni & mainnet vals here soon
ibc-go EnableFeeChannel Requests,"May 20, 2023","IBC, issue",Done,https://github.com/cosmos/ibc-go/issues/3622,"Waiting on teams feedback, will implement if they are interested in adding"
[v15] x/IBCFee ictest,"May 20, 2023","Juno, interchain-test",Blocked,https://github.com/CosmosContracts/juno/pull/684,Current channel is not opening up properly. May HAVE to do an upgrade to enable channels to do fees? kinda hard to test then…
[v47] Use upstream features + IBCFee enable all ics20,"May 19, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/683,
"[v47] Personal Review, Cleanup, Less duplication, Bump versions","May 19, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/compare/279a6a4ff63c4e8f9b0ab63de8c7ff51349d243b...9cea11c42c85bec15a76a4ff25bed2eeed88e8da,Need to upstream ModifyGenesis to ictest main branch. Wanted to review before monday group call
[v47] Move min commission from ante → x/staking + tested manually.,"May 18, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/646/commits/4af8731c6ee2a4f5a16630071b8a9c74b51cc1bf,Also added it to the upgrade handler as 0.05
[meeting] SparkIBC,"May 18, 2023",Meeting,Done,,
[cc] Added websocket support to my Juno CosmosCache node,"May 18, 2023",CosmosCache,Done,,
[v47] Added wasm08 client for ComposableFinance,"May 17, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/680,"May not be off the right commit, but a step in the right direction as SLove finish up final work on it"
[meeting] SG-1 with CosmosCache v0.0.10,"May 17, 2023","Infra, Meeting",Done,,
[ictest] Add PFM e2e test for v47,"May 17, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/679,Waiting on v47 upgrade branch to merge before getting this in
"[v47] Finished v47 base ","May 16, 2023",Juno,Done,https://github.com/CosmosContracts/juno/pull/676,"Fixed IBC issue (PFM + IBCFees not playing nicely, Relay did not auto relay. Manual Flush)"
[ictest] LocalJuno,"May 16, 2023",interchain-test,In progress,https://github.com/CosmosContracts/juno/pull/678,
[meeting] DoubleTop,"May 15, 2023",Meeting,Done,,https://doubletop.io/
Mock cosmos blockchain for web2 dev onboarding,"May 15, 2023","Ecosystem, Scripts",Done,https://github.com/Reecepbcups/mock-cosmos-blockchain,
"[v47] Fix ictest, add post handler, UpgradeHandler, coinbase Rosetta,  ","May 12, 2023",Juno,Done,https://github.com/CosmosContracts/juno/compare/1c3bac7e77427dd57270ad9107127f151f3131bc...c2465cc233fa40a7a8c71e5296d791e6e3ba9ca8,
[ictest] Add v47 features for Juno gov usage & larger Txs,"May 12, 2023",interchain-test,In progress,https://github.com/strangelove-ventures/interchaintest/pull/565,
"[v47] Cleanup app to be more v47 like (gov deposit, remove subspaces, fix globalfee params, rouggh upgrade handler)","May 11, 2023",Juno,Done,https://github.com/CosmosContracts/juno/compare/62c7e74ce23de80fd916443c8f235da7aee5514c...c5c5faf9fb9e426b7841883d50ca6cca244782f1,
"[v47] Fixes all go test wow, tuff","May 11, 2023",Testing,Done,https://github.com/CosmosContracts/juno/pull/646/commits/14cf29311d80a3e9ff1049228cb8c1765994fa6a,
"nRide (Juno p2p Uber) ","May 11, 2023",Meeting,Done,,
"[v47] Merged my other test & feature branches (PRs tagged with [v15]). Upgraded ICtest to v7 (from v4), fixed a bunch of failed test","May 10, 2023",Juno,Done,https://github.com/CosmosContracts/juno/tree/47-upgrade,Commit 623074dc94 to ed74b32
ictest: migrating Unity contract test into Juno repo,"May 10, 2023","Juno, interchain-test",Done,https://github.com/CosmosContracts/juno/pull/669,
"[test] Finish Basic, CW20, and native ictest tokenfactory-contracts","May 9, 2023",,Done,https://github.com/CosmosContracts/tokenfactory-contracts/pull/7,
