Task name,Date,Tags,Repo/PR,Notes
Rust driver: Steve’s review touch ups,"October 10, 2023",local-interchain,https://github.com/strangelove-ventures/interchaintest/compare/8f9b2c1335a522d63dd23b2452fcc22964844e59...1291b2a90f8f25490d9f3cfd0abae0104bab7b6e,
rename: router -> packetforward namespace,"October 10, 2023","IBC-Apps, PFM",https://github.com/cosmos/ibc-apps/pull/118,
x/cw-hooks: added e2e testing CI + update and unregister are standalone,"October 10, 2023",Juno,https://github.com/CosmosContracts/juno/compare/e356886c4c8b93ef38ff4e38b26afa55fda5717e...17463b8b3692daac998be6ed1b1470300f29c502,merged now
"x/FeePay: Latest ictest v7, FeePay e2e, fix nil deduct fee if GlobalFee does not have","October 9, 2023",Juno,https://github.com/CosmosContracts/juno/compare/808d6be19635db2b4e202454c4f434255e2bb22c...54de610bac0d1f556138fb26b86980783724628c,
Write CosmWasm test easier,"October 7, 2023","Juno, interchain-test",https://github.com/strangelove-ventures/interchaintest/pull/810,notices then when writing FeePay contracts with Joel. Currently really hard to do without forking
pfm simapp for interchaintest e2e,"October 5, 2023","IBC-Apps, PFM",https://github.com/cosmos/ibc-apps/pull/117,
move workflows to standalone files,"October 5, 2023",IBC-Apps,https://github.com/cosmos/ibc-apps/pull/116,needed for mono repo scaling
Fix querying a contract with a string of JSON,"October 4, 2023",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/806,impl for the wasm ibc client
Archived PFM repo in favor of IBC-Apps,"October 4, 2023",,https://github.com/strangelove-ventures/packet-forward-middleware,
"Remove / merge duplicated test ","October 4, 2023",interchain-test,https://github.com/strangelove-ventures/interchaintest/pull/772,
bypass signature verification for testing option,"October 3, 2023","Juno, interchain-test",https://github.com/CosmosContracts/juno/pull/849,"If we have a env variable to bypass sig verification (opt in) then we can make testing easier to run for any account, even ones we do not own. Making it easier to simulate on chain Txs for minimal upfront cost. (Only a unique account sequence is required)"
Module testing + discussion with Joel,"October 3, 2023","Juno, Meeting",,
"x/cw-hooks: e2e test, better errors, Export & Import genesis patch, module v18 namespace, fix govKeeper execute, add upgrade test, add spec / docs","October 3, 2023",Juno,"https://github.com/CosmosContracts/juno/compare/dad9bf2db7a57f36c2a0c5e54455255801a53889...4adcd7fb5980a56bc188fc9753dfbff0b5a84318

https://github.com/CosmosContracts/juno/compare/43065b4dd695eeee31ab5a783ca278bcc96bed75...caf3637a3eb7fc625ebb76f518d950df5e81397b",
Juno: A year in Development Recap,"October 2, 2023",Article,https://medium.com/@reecepbcups/juno-my-year-of-development-747638ea15f3,
IAVL query patch: v0.45.16-ics-lsm (gaia v12),"October 2, 2023","CosmosHub, CosmosSDK","https://github.com/Reecepbcups/cosmos-sdk/releases/tag/v0.45.16-ics-lsm-iavlpatch.1

3 users + Strangelove team needed: https://github.com/cosmos/gaia/issues/2313",for gaia v12.0.0
e2e test for cw-hooks,"October 2, 2023",Juno,https://github.com/CosmosContracts/juno/pull/825/commits/f9277bae5803e2f79f1c26f3ec838952b1ef7daa,SmartQueryString should be upstreamed to interchaintest for ease of use. Much nicer than yuck go structs
Release cycle for local-ic with interchaintest,"October 2, 2023","interchain-test, local-interchain",https://github.com/strangelove-ventures/interchaintest/pull/805,
fix: packet-forward-middleware backports,"October 2, 2023",PFM,"https://github.com/cosmos/ibc-apps/pull/115/commits/5ca6abf694dbe3453eed2d13f9c750a593582913
https://github.com/cosmos/ibc-apps/pull/114/commits/99563b2b90fcf38167947b34b52731db4015a801
https://github.com/cosmos/ibc-apps/pull/113/commits/1a2cd6512521f0d84f894f2eadffbe612a234e2e",
"x/cw-hooks: new contract, testing keeper, msg_server, querier for both Staking & Gov. Unreigster contract Txs + testing and validation","October 1, 2023",Juno,"https://github.com/CosmosContracts/juno/compare/42d829624e0787b4f45c00a1a5a4b1e565c82278...dad9bf2db7a57f36c2a0c5e54455255801a53889

https://github.com/Reecepbcups/cw-juno-staking-hooks-example/commit/a65524d6e593527eedafd05508ebbabcfd7081c9",
