Task name,Date,Tags,Repo/PR,Notes,Created time
review: further docs,"January 7, 2025","Docs, Ondo",,,"January 7, 2025 10:14 PM"
review: nick’s decentralized AI blog post,"January 7, 2025","Blog, Review, wavs",,,"January 7, 2025 10:14 PM"
"docker-compose (eth, wavs, aggregator); deploy eigenlayer core","January 7, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/289,terrible UX with mounting (super confusing what/where toml files are),"January 7, 2025 4:35 PM"
feat: namespaced sys env variables,"January 7, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/288,,"January 7, 2025 2:52 PM"
WIP: runtime sys env for wasmtime experimentation,"January 7, 2025",wavs,,,"January 7, 2025 11:27 AM"
review docs,"January 7, 2025",wavs,,,"January 7, 2025 11:27 AM"
intro,"January 6, 2025","Meeting, Ondo",,,"January 6, 2025 3:21 PM"
internal new component / service demo,"January 6, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/282,"grab ENV vars pre WAVS runtime, launch a Weather component, test, & deploy locally","January 6, 2025 3:18 PM"
review: cli json output & Cli exec,"January 6, 2025",wavs,"https://github.com/Lay3rLabs/WAVS/pull/280
https://github.com/Lay3rLabs/WAVS/pull/281",,"January 6, 2025 10:32 AM"
"david - openzeplin, PR reviews, next steps","January 6, 2025",Call,,,"January 6, 2025 10:31 AM"
"get the ECDSA from the serviceManager, remove custom contract tester, override serviceManager in the just command","January 4, 2025",wavs,https://github.com/Lay3rLabs/WAVS/compare/9a189881e88a4c339506068e08122f4a36c73bd7...3261dee9e56552ae91004bcce0e1fdf34b43d498,Huge UX improvements here,"January 4, 2025 3:49 PM"
"finally got ECDSA contract working, fixed proxy contract usage if not overriden","January 4, 2025",wavs,https://github.com/Lay3rLabs/WAVS/compare/0fa75057cf23a2082f8ed67311bc9dea9053234a...7c43ecd57c560f41c299408c4a67ad5d2c266285,,"January 4, 2025 1:08 PM"
miscellaneous DevEx improvements,"January 4, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/274/files,,"January 3, 2025 10:47 PM"
feat: override wavs contracts,"January 3, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/273,Service deploy is limited in that you have to deploy the hardcoded contract. This fixes that and adds some docs,"January 3, 2025 10:26 PM"
refactor: use nested ~/wavs directories,"January 3, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/272,,"January 3, 2025 2:42 PM"
refactor: use 127.0.0.1 and not localhost,"January 3, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/270,,"January 3, 2025 12:39 PM"
review: cli improvements,"January 3, 2025","Review, wavs",https://github.com/Lay3rLabs/WAVS/pull/266,,"January 3, 2025 12:32 PM"
feat(ux): convert non hex input -> hex,"January 3, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/266/commits/0e14d86d1c314e59fc2878496570e7f59ab1225f,,"January 3, 2025 12:32 PM"
Add service specific metering,"January 3, 2025",wavs,https://github.com/Lay3rLabs/WAVS/issues/269,,"January 3, 2025 11:30 AM"
feat: global gas metering,"January 2, 2025",wavs,https://github.com/Lay3rLabs/WAVS/pull/260,,"January 2, 2025 9:15 PM"
review: more config consolidation,"January 2, 2025",Review,https://github.com/Lay3rLabs/WAVS/pull/259,,"January 2, 2025 7:36 PM"
go through all issues; added context or self assigned as required,"January 2, 2025",wavs,,,"January 2, 2025 5:56 PM"
document devex frustrations,"January 2, 2025",wavs,,"2 long docs, todo examples, ideal flows, painpoints. Going to start migrating to Rust soon and then distribute","January 2, 2025 5:55 PM"
evan: walk through current services,"January 2, 2025","Call, wavs",,,"January 2, 2025 5:55 PM"
continued attempt to get ECDSA working w/ custom contract,"January 1, 2025",wavs,,,"January 1, 2025 3:41 PM"
review: Cosmos query component,"January 1, 2025",Review,https://github.com/Lay3rLabs/WAVS/pull/245,,"January 1, 2025 11:13 AM"
review: Move chain configs,"January 1, 2025",Review,https://github.com/Lay3rLabs/WAVS/pull/255,,"January 1, 2025 10:57 AM"
